service_id,date,exception_type
001-18-0950102025-M#FR,20251009,2
001-18-0950102025-M#FR,20251010,2
001-18-0950102025-M#FR,20251016,2
001-18-0950102025-M#FR,20251017,2
001-18-0950102025-M#FR,20251023,2
001-18-0950102025-M#FR,20251024,2
001-18-0950102025-M#FR,20251026,2
001-18-0950112025-M#FR,20251122,2
001-26-1230102025-M#FR,20251009,2
001-26-1230102025-M#FR,20251016,2
001-26-1230102025-M#FR,20251023,2
001-26-1315102025-M#FR,20251002,2
001-26-1330102025-M#FR,20251006,2
001-26-1330102025-M#FR,20251010,2
001-26-1330102025-M#FR,20251013,2
001-26-1330102025-M#FR,20251017,2
001-26-1330102025-M#FR,20251020,2
001-26-1330102025-M#FR,20251024,2
001-26-1330102025-M#FR,20251026,2
001-3-0550102025-FR#M,20251009,2
001-3-0550102025-FR#M,20251016,2
001-3-0550102025-FR#M,20251023,2
001-3-0650102025-FR#M,20251002,2
001-3-0650102025-FR#M,20251003,2
001-3-0650102025-FR#M,20251006,2
001-3-0650102025-FR#M,20251010,2
001-3-0650102025-FR#M,20251013,2
001-3-0650102025-FR#M,20251017,2
001-3-0650102025-FR#M,20251020,2
001-3-0650102025-FR#M,20251024,2
001-3-0650102025-FR#M,20251026,2
001-3-0650102025-FR#M,20251028,2
001-3-0650102025-FR#M,20251029,2
001-3-0650102025-FR#M,20251030,2
001-35-1530102025-FR#M,20251009,2
001-35-1530102025-FR#M,20251010,2
001-35-1530102025-FR#M,20251016,2
001-35-1530102025-FR#M,20251017,2
001-35-1530102025-FR#M,20251023,2
001-35-1530102025-FR#M,20251024,2
001-35-1530102025-FR#M,20251026,2
001-35-1530112025-FR#M,20251122,2
001-38-1505102025-M#FR,20251009,2
001-38-1505102025-M#FR,20251016,2
001-38-1505102025-M#FR,20251023,2
001-38-1605112025-M#FR,20251117,2
001-38-1605112025-M#FR,20251124,2
001-5-0815102025-FR#M,20251009,2
001-5-0815102025-FR#M,20251016,2
001-5-0815102025-FR#M,20251023,2
001-5-0915112025-FR#M,20251117,2
001-5-0915112025-FR#M,20251124,2
006-1-0730062025-ZH#M,20250611,2
006-1-0730062025-ZH#M,20250625,2
006-8-1620062025-M#ZH,20250611,2
006-8-1620062025-M#ZH,20250625,2
006-8-1620082025-M#ZH,20250811,2
007-72-0650102025-DHA#ZH,20251008,2
007-72-0650102025-DHA#ZH,20251015,2
007-72-0650102025-DHA#ZH,20251022,2
008-22-0335062025-RTL#FR,20250624,2
008-22-0335072025-RTL#FR,20250702,2
008-22-0335072025-RTL#FR,20250709,2
008-3-0900062025-FR#STF,20250624,2
008-3-0900072025-FR#STF,20250702,2
008-3-0900072025-FR#STF,20250709,2
008-6-1210062025-STF#FR,20250624,2
008-6-1210072025-STF#FR,20250702,2
008-6-1210072025-STF#FR,20250709,2
008-7-1635062025-FR#RTL,20250624,2
008-7-1635072025-FR#RTL,20250702,2
008-7-1635072025-FR#RTL,20250709,2
011-1-0445062025-FR#AMD,20250617,2
011-1-0445062025-FR#AMD,20250618,2
011-1-0445062025-FR#AMD,20250621,2
011-1-0445062025-FR#AMD,20250624,2
011-1-0445062025-FR#AMD,20250625,2
011-2-0500062025-AMD#FR,20250618,2
011-2-0500062025-AMD#FR,20250619,2
011-2-0500062025-AMD#FR,20250621,2
011-2-0500062025-AMD#FR,20250622,2
011-2-0500062025-AMD#FR,20250625,2
011-2-0500062025-AMD#FR,20250626,2
025-10-1145062025-B#L,20250609,2
025-10-1145102025-B#L,20251003,2
025-1-0800062025-L#B,20250609,2
025-11-0930062025-L#B,20250616,2
025-11-0930062025-L#B,20250623,2
025-13-1130062025-L#B,20250609,2
025-14-1400062025-B#L,20250616,2
025-14-1400062025-B#L,20250623,2
025-14-1400102025-B#L,20251010,2
025-14-1400102025-B#L,20251017,2
025-15-1200062025-L#B,20250616,2
025-15-1200062025-L#B,20250623,2
025-19-1730062025-L#B,20250609,2
025-19-1730062025-L#B,20250612,2
025-19-1730062025-L#B,20250617,2
025-19-1730062025-L#B,20250624,2
025-19-1730092025-L#B,20250909,2
025-19-1730092025-L#B,20250910,2
025-19-1730092025-L#B,20250916,2
025-19-1730092025-L#B,20250917,2
025-19-1730092025-L#B,20250923,2
025-19-1730092025-L#B,20250924,2
025-19-1730102025-L#B,20251003,2
025-20-1600062025-B#L,20250612,2
025-20-1600062025-B#L,20250617,2
025-20-1600062025-B#L,20250624,2
025-20-1600092025-B#L,20250909,2
025-20-1600092025-B#L,20250910,2
025-20-1600092025-B#L,20250916,2
025-20-1600092025-B#L,20250917,2
025-20-1600092025-B#L,20250923,2
025-20-1600092025-B#L,20250924,2
025-2-0730102025-B#L,20251003,2
025-23-1800062025-L#B,20250616,2
025-23-1800062025-L#B,20250623,2
025-23-1800102025-L#B,20251010,2
025-23-1800102025-L#B,20251017,2
025-4-0815062025-B#L,20250616,2
025-4-0815062025-B#L,20250623,2
025-4-0815102025-B#L,20251010,2
025-4-0815102025-B#L,20251017,2
027-11-1145112025-M#E,20251108,2
027-11-1145112025-M#E,20251115,2
027-11-1145112025-M#E,20251122,2
027-11-1145112025-M#E,20251129,2
027-4-0745112025-E#M,20251106,2
027-4-0745112025-E#M,20251109,2
027-4-0745112025-E#M,20251116,2
027-4-0745112025-E#M,20251123,2
032-6-1320062025-KHG#B,20250613,2
032-6-1320072025-KHG#B,20250708,2
032-6-1320072025-KHG#B,20250709,2
032-6-1320072025-KHG#B,20250710,2
032-6-1320072025-KHG#B,20250715,2
032-6-1320072025-KHG#B,20250716,2
032-6-1320072025-KHG#B,20250717,2
032-6-1320092025-KHG#B,20250909,2
032-6-1320092025-KHG#B,20250910,2
032-6-1320092025-KHG#B,20250911,2
032-9-0940072025-B#KHG,20250707,2
032-9-0940072025-B#KHG,20250708,2
