agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_url,route_color,route_text_color,bikes_allowed,route_sort_order
FLIXBUS-eu,N862,FlixBus N862,Prague - Pula,3,,,73D700,FFFFFF,,
FLIXBUS-eu,858,FlixBus 858,Prague - Chomutov - Most,3,,,73D700,FFFFFF,,
FLIXBUS-eu,507,FlixBus 507,Geneva - Milan - Bologna,3,,,73D700,FFFFFF,,
FLIXBUS-eu,563,FlixBus 563,Rome - Sorrento,3,,,73D700,FFFFFF,,
FLIXBUS-eu,455,FlixBus 455,Milan - Innsbruck - Munich,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N367,FlixBus N367,Prague - Hanover - Paris,3,,,73D700,FFFFFF,,
FLIXBUS-eu,817,FlixBus 817,Amsterdam - Utrecht - Brussels,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1606,FlixBus 1606,Lyon - Clermont-Ferrand - Bordeaux (seasonal),3,,,73D700,FFFFFF,,
FLIXBUS-eu,N799,FlixBus N799,Paris - Geneva - Bern,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1389,FlixBus 1389,Koszalin/Szczecin - Berlin - Halle/Erfurt,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N1366,FlixBus N1366,Krakow - Dresden - Munich,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N1226,FlixBus N1226,Vilnius - Warsaw - Medyka,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1950,FlixBus 1950,Arad - Timisoara - Sofia (feeder line),3,,,73D700,FFFFFF,,
FLIXBUS-eu,515,FlixBus 515,Turin - Ventimiglia,3,,,73D700,FFFFFF,,
FLIXBUS-eu,096,FlixBus 096,Vienna - Graz,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1554,FlixBus 1554,Ancona - L' Aquila - Rome FCO ✈,3,,,73D700,FFFFFF,,
FLIXBUS-eu,574,FlixBus 574,Rome FCO ✈ - San Giovanni Rotondo,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N907,FlixBus N907,Nitra - Vienna - Padova,3,,,73D700,FFFFFF,,
FLIXBUS-eu,977,FlixBus 977,Budapest - Ljubljana - Padova,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1262,FlixBus 1262,Warszawa - Kraków - Kosice,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1033A,FlixBus 1033A,Coimbra - Santarem - Lisbon,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N918,FlixBus N918,Warszawa - Katowice - Vienna,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1690,FlixBus 1690,Metz - Reims - Paris - Rennes,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N1261,FlixBus N1261,Warsaw - Kraków - Zakopane,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N3220,FlixBus N3220,Kyiv - Kovel - Warsaw,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N707,FlixBus N707,Paris - Clermont-Ferrand - Barcelona,3,,,73D700,FFFFFF,,
FLIXBUS-eu,974,FlixBus 974,Split - Dubrovnik,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1300A,FlixBus 1300A,Kalisz- Wroclaw- Prague,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1362,FlixBus 1362,Swinoujscie - Szczecin - Zakopane,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N944,FlixBus N944,Rijeka - Munich,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1928,FlixBus 1928,Bucharest - Salerno/Palermo/Calabria,3,,,73D700,FFFFFF,,
FLIXBUS-eu,3292,FlixBus 3292,Kyiv - Odesa - Chisinau,3,,,73D700,FFFFFF,,
FLIXBUS-eu,335,FlixBus 335,Berlin - Luxembourg,3,,,73D700,FFFFFF,,
FLIXBUS-eu,885,FlixBus 885,Zagreb - Vienna - Bratislava,3,,,73D700,FFFFFF,,
FLIXBUS-eu,735,FlixBus 735,Tours - Blois - Paris,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N3242,FlixBus N3242,Odesa - Lviv - Warsaw,3,,,73D700,FFFFFF,,
FLIXBUS-eu,X31,FlixBus X31,Berlin - Amsterdam,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1614,FlixBus 1614,Nantes - Angers - Le Mans - Paris,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1227,FlixBus 1227,Riga - Vilnius - Warsaw,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N1323,FlixBus N1323,Vilnius - Warsaw - Berlin,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1587,FlixBus 1587,Crotone - Cosenza - Gallipoli,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N955,FlixBus N955,Zagreb - Stuttgart - Wiesbaden,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N1700,FlixBus N1700,Paris - London,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N1154,FlixBus N1154,Povoa de Varzim - Hub - Paris - Frankfurt,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1903,FlixBus 1903,Nis - Belgrade - Vienna,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N42,FlixBus N42,Berlin - Stuttgart - Zurich,3,,,73D700,FFFFFF,,
FLIXBUS-eu,x400,FlixBus x400,Milan - Treviso ✈,3,,,73D700,FFFFFF,,
FLIXBUS-eu,A598,FlixBus A598,Catania - Vittoria,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N84,FlixBus N84,Prague - Bruges,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N1143,FlixBus N1143,Lisbon - Brussels,3,,,73D700,FFFFFF,,
FLIXBUS-eu,001,FlixBus 001,Munich - Freiburg,3,,,73D700,FFFFFF,,
FLIXBUS-eu,589,FlixBus 589,Crotone - Rome,3,,,73D700,FFFFFF,,
FLIXBUS-eu,544,FlixBus 544,Pisa/Bologna - Milan MXP ✈ - Turin,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N232,FlixBus N232,Copenhagen - Prague,3,,,73D700,FFFFFF,,
FLIXBUS-eu,UK073,FlixBus UK073,Manchester - Leeds - Newcastle,3,,,73D700,FFFFFF,,
FLIXBUS-eu,UK023,FlixBus UK023,London - Birmingham - Manchester,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N613,FlixBus N613,Oslo - Hamburg,3,,,73D700,FFFFFF,,
FLIXBUS-eu,UKX010,FlixBus UKX010,Edinburgh - Newcastle - London,3,,,73D700,FFFFFF,,
FLIXBUS-eu,223,FlixBus 223,Wroclaw - Dresden - Bochum,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N765,FlixBus N765,Paris - Bordeaux - Pau - Lourdes,3,,,73D700,FFFFFF,,
FLIXBUS-eu,541,FlixBus 541,Rijeka - Perugia,3,,,73D700,FFFFFF,,
FLIXBUS-eu,822,FlixBus 822,Arnhem - Eindhoven - Brussels - Orly,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N95,FlixBus N95,Berlin - Munich - Milan,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N602,FlixBus N602,Stockholm - Hamburg,3,,,73D700,FFFFFF,,
FLIXBUS-eu,081,FlixBus 081,Berlin/Hanover - Brussels,3,,,73D700,FFFFFF,,
FLIXBUS-eu,768,FlixBus 768,Toulouse - Nice,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1766,FlixBus 1766,Lyon-Grenoble / Annecy-Lyon,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N729,FlixBus N729,Paris - Milan/Venice,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N93,FlixBus N93,Amsterdam - Rotterdam - Cologne - Munich,3,,,73D700,FFFFFF,,
FLIXBUS-eu,833,FlixBus 833,Amsterdam - Aachen,3,,,73D700,FFFFFF,,
FLIXBUS-eu,400,FlixBus 400,Milan - Venice,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1390,FlixBus 1390,Gdynia - Krakow /Zakopane,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N1016,FlixBus N1016,Porto - Evora - Lagos,3,,,73D700,FFFFFF,,
FLIXBUS-eu,620,FlixBus 620,Aarhus - Copenhagen,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N1193,FlixBus N1193,Lisbon - Paris,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N815,FlixBus N815,London - Brussels - Cologne - Frankfurt,3,,,73D700,FFFFFF,,
FLIXBUS-eu,813,FlixBus 813,Amsterdam - The Hague - Brussels,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N844,FlixBus N844,RTM - AMD - HH - KHG,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N1362,FlixBus N1362,Swinoujscie - Szczecin - Zakopane,3,,,73D700,FFFFFF,,
FLIXBUS-eu,1558,FlixBus 1558,Catanzaro-Cosenza-Rome,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N535,FlixBus N535,Florence - Venice - Split,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N433,FlixBus N433,Treviso - Salerno,3,,,73D700,FFFFFF,,
FLIXBUS-eu,024,FlixBus 024,Würzburg - Vicenza,3,,,73D700,FFFFFF,,
FLIXBUS-eu,N760,FlixBus N760,Lyon - Amsterdam,3,,,73D700,FFFFFF,,
