from_stop_id,from_route_id,from_trip_id,to_stop_id,to_route_id,to_trip_id,transfer_type,min_transfer_time
dcc212d9-9603-11e6-9066-549f350fcb0c,N760,,dcc212d9-9603-11e6-9066-549f350fcb0c,S766,,3,
9b6a63fd-3ecb-11ea-8017-02437075395e,1251,,9b6a63fd-3ecb-11ea-8017-02437075395e,N3220,,3,
8626617d-177c-4f70-9534-db18aed90425,N760,,8626617d-177c-4f70-9534-db18aed90425,S766,,3,
779481dc-ec1a-4651-9771-f0e97a5cacc9,721,,779481dc-ec1a-4651-9771-f0e97a5cacc9,783,,3,
dcc132e7-9603-11e6-9066-549f350fcb0c,N1326,,dcc132e7-9603-11e6-9066-549f350fcb0c,S766,,3,
5e27bb0b-8dfe-4399-be62-b23800957ce7,N1158,,5e27bb0b-8dfe-4399-be62-b23800957ce7,N1153,,3,
8626617d-177c-4f70-9534-db18aed90425,800,,8626617d-177c-4f70-9534-db18aed90425,809,,3,
dcc45c53-9603-11e6-9066-549f350fcb0c,N491,,dcc45c53-9603-11e6-9066-549f350fcb0c,N537,,3,
dcc19252-9603-11e6-9066-549f350fcb0c,N1157,,dcc19252-9603-11e6-9066-549f350fcb0c,N1154,,3,
a23fdfe0-ea13-4a88-84f6-d7b05c6e2f10,N1157,,a23fdfe0-ea13-4a88-84f6-d7b05c6e2f10,N1154,,3,
682f1f0b-ebbd-424b-8e95-58f88bb23901,N597,,682f1f0b-ebbd-424b-8e95-58f88bb23901,N595,,3,
af47102c-0222-4dad-a753-23994a95b37e,N596,,af47102c-0222-4dad-a753-23994a95b37e,N595,,3,
138f44d2-09b1-401b-ba75-c3d54b1ed1bb,N1305,,138f44d2-09b1-401b-ba75-c3d54b1ed1bb,N3221,,3,
10981240-53a7-4df6-be7d-7353e1671a75,N1152,,10981240-53a7-4df6-be7d-7353e1671a75,N1151,,3,
26369f41-5f0f-42aa-bcfe-a134058faf81,N1315,,26369f41-5f0f-42aa-bcfe-a134058faf81,N3223,,3,
dcc46d21-9603-11e6-9066-549f350fcb0c,N456,,dcc46d21-9603-11e6-9066-549f350fcb0c,N456A,,3,
548ca7a4-0505-45e8-839b-b3172f9eb42f,N729,,548ca7a4-0505-45e8-839b-b3172f9eb42f,S766,,3,
dcbcaa4d-9603-11e6-9066-549f350fcb0c,095,,dcbcaa4d-9603-11e6-9066-549f350fcb0c,N538,,3,
0667ba34-c22c-40a2-a1b0-3b248c37dccf,N1158,,0667ba34-c22c-40a2-a1b0-3b248c37dccf,N1157,,3,
acbb1926-1e7e-430d-a3cc-0edbd64d2cb5,N1158,,acbb1926-1e7e-430d-a3cc-0edbd64d2cb5,N1151,,3,
dcbdb0fa-9603-11e6-9066-549f350fcb0c,401,,dcbdb0fa-9603-11e6-9066-549f350fcb0c,405,,3,
dcc14685-9603-11e6-9066-549f350fcb0c,714,,dcc14685-9603-11e6-9066-549f350fcb0c,N1152,,3,
dcc329e1-9603-11e6-9066-549f350fcb0c,N1157,,dcc329e1-9603-11e6-9066-549f350fcb0c,N1156,,3,
dcc0b9bc-9603-11e6-9066-549f350fcb0c,N1156,,dcc0b9bc-9603-11e6-9066-549f350fcb0c,N1155,,3,
765c44fe-f070-4e9c-8238-71c078e8734f,N1158,,765c44fe-f070-4e9c-8238-71c078e8734f,N1157,,3,
dcbbb5ad-9603-11e6-9066-549f350fcb0c,040,,dcbbb5ad-9603-11e6-9066-549f350fcb0c,451,,3,
91fa80a3-269a-4e91-ac52-080801240622,N424,,91fa80a3-269a-4e91-ac52-080801240622,1509,,3,
97408152-5e99-4374-9c1e-9bd3ffab223a,N1157,,97408152-5e99-4374-9c1e-9bd3ffab223a,N1156,,3,
dcbf6e33-9603-11e6-9066-549f350fcb0c,S766,,dcbf6e33-9603-11e6-9066-549f350fcb0c,N1315,,3,
28f6f5b5-edad-4e7f-aa9f-408cfb318fc6,N1157,,28f6f5b5-edad-4e7f-aa9f-408cfb318fc6,N1154,,3,
acbb1926-1e7e-430d-a3cc-0edbd64d2cb5,N1158,,acbb1926-1e7e-430d-a3cc-0edbd64d2cb5,N1155,,3,
dcc193b5-9603-11e6-9066-549f350fcb0c,N1155,,dcc193b5-9603-11e6-9066-549f350fcb0c,N1152,,3,
dcc47678-9603-11e6-9066-549f350fcb0c,421,,dcc47678-9603-11e6-9066-549f350fcb0c,405,,3,
6448076c-0549-4d46-af38-f13d791575cc,N1152,,6448076c-0549-4d46-af38-f13d791575cc,N1151,,3,
1eea41e7-0473-453b-b962-5e27acfe6cbb,N760,,1eea41e7-0473-453b-b962-5e27acfe6cbb,S766,,3,
ec04463a-f51e-4ac0-b2ab-cffe3753c993,N1157,,ec04463a-f51e-4ac0-b2ab-cffe3753c993,N1154,,3,
dcc1317e-9603-11e6-9066-549f350fcb0c,N1158,,dcc1317e-9603-11e6-9066-549f350fcb0c,N1155,,3,
dcc1317e-9603-11e6-9066-549f350fcb0c,N1158,,dcc1317e-9603-11e6-9066-549f350fcb0c,N1156,,3,
dcc1317e-9603-11e6-9066-549f350fcb0c,N716,,dcc1317e-9603-11e6-9066-549f350fcb0c,S766,,3,
dcc17134-9603-11e6-9066-549f350fcb0c,S703,,dcc17134-9603-11e6-9066-549f350fcb0c,1631,,3,
7c9b9a0b-7ab5-4a64-ab85-5bb90bb23515,N1157,,7c9b9a0b-7ab5-4a64-ab85-5bb90bb23515,N1155,,3,
d7e895ab-9531-4a47-beec-a40ef11cf6ba,N1156,,d7e895ab-9531-4a47-beec-a40ef11cf6ba,N1155,,3,
dcbcb402-9603-11e6-9066-549f350fcb0c,040,,dcbcb402-9603-11e6-9066-549f350fcb0c,095,,3,
dcbcb402-9603-11e6-9066-549f350fcb0c,N95,,dcbcb402-9603-11e6-9066-549f350fcb0c,N537,,3,
dcbb1bfe-9603-11e6-9066-549f350fcb0c,198,,dcbb1bfe-9603-11e6-9066-549f350fcb0c,N3205,,3,
dcc46d21-9603-11e6-9066-549f350fcb0c,1921,,dcc46d21-9603-11e6-9066-549f350fcb0c,451,,3,
dcc0ca8b-9603-11e6-9066-549f350fcb0c,N1155,,dcc0ca8b-9603-11e6-9066-549f350fcb0c,N1154,,3,
9b6a4031-3ecb-11ea-8017-02437075395e,N1158,,9b6a4031-3ecb-11ea-8017-02437075395e,N1151,,3,
b0497225-0090-4dca-bb57-b49986454e89,N1157,,b0497225-0090-4dca-bb57-b49986454e89,N1153,,3,
ea9e1971-8b5a-4b1a-bc56-40da2e75986b,N1156,,ea9e1971-8b5a-4b1a-bc56-40da2e75986b,N1151,,3,
dcbac843-9603-11e6-9066-549f350fcb0c,720,,dcbac843-9603-11e6-9066-549f350fcb0c,S766,,3,
cdf5aee6-9a78-468c-84c7-8d395c6ac70f,N1158,,cdf5aee6-9a78-468c-84c7-8d395c6ac70f,N711,,3,
dcbcac4d-9603-11e6-9066-549f350fcb0c,095,,dcbcac4d-9603-11e6-9066-549f350fcb0c,N537,,3,
4f780e00-0cf8-48cc-b9df-4d5322715f75,N1158,,4f780e00-0cf8-48cc-b9df-4d5322715f75,N1152,,3,
dcc193b5-9603-11e6-9066-549f350fcb0c,N1153,,dcc193b5-9603-11e6-9066-549f350fcb0c,N1151,,3,
bc475f9e-4baf-4757-bfa1-0642bff9c90d,N1158,,bc475f9e-4baf-4757-bfa1-0642bff9c90d,N1153,,3,
48184e15-c08a-4cb7-9775-d6ee79cbc42e,793,,48184e15-c08a-4cb7-9775-d6ee79cbc42e,N1154,,3,
dcbfeac0-9603-11e6-9066-549f350fcb0c,N1156,,dcbfeac0-9603-11e6-9066-549f350fcb0c,N1152,,3,
3286f04e-089a-4b4c-8a44-e4beda540b9b,N1157,,3286f04e-089a-4b4c-8a44-e4beda540b9b,N1153,,3,
